Marca temporal,Nombre de usuario,Nombre de la Institución:,  Nombre del Responsable/Coordinador  ,Categoría en la que Participará:  ,Nivel del Robot  ,Nombre del Robot,Aceptación de Términos
2026/04/15 1:15:00 p. m. GMT-5,camila.serrano@tecnibot.edu.ec,Unidad Educativa María Auxiliadora,Camila Serrano Ulloa,Soccer,Senior,Spartan Bot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 1:32:00 p. m. GMT-5,carlos.vega@tecnibot.edu.ec,Unidad Educativa Técnico Salesiano,Carlos Vega Torres,Soccer,Amateur,Nova,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 1:49:00 p. m. GMT-5,maria.cordero@tecnibot.edu.ec,Unidad Educativa Herlinda Toral,María José Cordero,Soccer,Amateur,Electro Kick,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 2:06:00 p. m. GMT-5,andres.pulla@tecnibot.edu.ec,Unidad Educativa Borja,Andrés Pulla Crespo,Soccer,Amateur,Blue Storm,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 2:23:00 p. m. GMT-5,diana.palacios@tecnibot.edu.ec,Unidad Educativa La Asunción,Diana Palacios Mora,Soccer,Amateur,Cyber Gol,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 2:40:00 p. m. GMT-5,kevin.ochoa@tecnibot.edu.ec,Unidad Educativa Manuela Garaicoa,Kevin Ochoa León,Soccer,Amateur,Turbo Bot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 2:57:00 p. m. GMT-5,lucia.vintimilla@tecnibot.edu.ec,Unidad Educativa Benigno Malo,Lucía Vintimilla Peña,Soccer,Amateur,Lince Mecánico,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 3:14:00 p. m. GMT-5,esteban.narvaez@tecnibot.edu.ec,Unidad Educativa Ciudad de Cuenca,Esteban Narváez Ruiz,Soccer,Amateur,Pixel Drive,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 3:31:00 p. m. GMT-5,melany.cabrera@tecnibot.edu.ec,Unidad Educativa Sagrados Corazones,Melany Cabrera Ortiz,Soccer,Amateur,Delta Shot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 3:48:00 p. m. GMT-5,javier.sarmiento@tecnibot.edu.ec,Unidad Educativa Febres Cordero,Javier Sarmiento Solís,Soccer,Junior,Mini Gol,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 4:05:00 p. m. GMT-5,paola.guaman@tecnibot.edu.ec,Unidad Educativa Santana,Paola Guamán Vélez,Soccer,Junior,Rayo Bot,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 4:22:00 p. m. GMT-5,diego.crespo@tecnibot.edu.ec,Unidad Educativa del Pacífico,Diego Crespo Alvarado,Soccer,Junior,Chispa FC,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 4:39:00 p. m. GMT-5,valentina.cardenas@tecnibot.edu.ec,Unidad Educativa Eugenio Espejo,Valentina Cárdenas Patiño,Soccer,Junior,Peque Goal,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 4:56:00 p. m. GMT-5,jose.peralta@tecnibot.edu.ec,Unidad Educativa Particular Sudamericano,José Miguel Peralta,Soccer,Junior,Botín Jr,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 5:13:00 p. m. GMT-5,sofia.neira@tecnibot.edu.ec,Unidad Educativa Daniel Córdova Toral,Sofía Neira Campoverde,Soccer,Junior,Kicker Kids,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 5:30:00 p. m. GMT-5,mateo.bermeo@tecnibot.edu.ec,Unidad Educativa Miguel Merchán,Mateo Bermeo Tapia,Soccer,Junior,Nano Soccer,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
2026/04/15 5:47:00 p. m. GMT-5,camila.serrano@tecnibot.edu.ec,Unidad Educativa María Auxiliadora,Camila Serrano Ulloa,Soccer,Junior,Junior Spark,Confirmo que el pago de inscripción de 10 dólares ha sido realizado;Acepto los términos y condiciones del concurso y me comprometo a cumplir con las reglas y regulaciones establecidas.;Acepto que las imágenes de los participantes y robots pueden ser utilizadas para fines promocionales del evento.
